25/02/2021 15:17 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "home.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
25/02/2021 15:17 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "home.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:52 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "header.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:52 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "head.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:52 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "footer.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:53 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "header.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:53 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "head.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:53 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "footer.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:53 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "header.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:53 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "head.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:53 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "footer.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:53 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "header.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:53 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "head.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:53 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "footer.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
01/03/2021 13:53 | Source\Core\View | ERROR | Line: 227 - File: C:\xampp7.4.9\htdocs\webart\projeto\vendor\twig\twig\src\Loader\FilesystemLoader.php - Unable to find template "header.twig" (looked into: C:\xampp7.4.9\htdocs\webart\projeto\source\Boot/../..//themes/web). |  | 
